Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,
BOS,47,18,49,16,8.71,-0.45,8.26,120.1,111.2,96.6,0.22,0.532,0.56,10.7,24.8,0.176,0.523,11.8,76.2,0.158,
LAL,40,23,35,28,1.71,-0.2,1.52,115.2,113.5,97.6,0.272,0.415,0.554,12.7,23.2,0.214,0.533,12.3,74.8,0.175,
GSW,37,28,37,28,2.26,0.3,2.57,114.3,112,99.2,0.234,0.463,0.532,12.1,27.5,0.177,0.538,13.6,75.7,0.194,
MIA,29,35,31,33,-0.5,-0.43,-0.93,112.5,113,96.4,0.242,0.442,0.537,12.4,21.7,0.192,0.539,12.2,76.1,0.16,
CHI,27,38,26,39,-3.68,-0.09,-3.76,112.7,116.2,103,0.209,0.466,0.549,12.9,21.7,0.168,0.541,10.7,76.5,0.182,
NYK,41,23,41,23,4.47,-0.57,3.9,119.3,114.7,97.3,0.237,0.384,0.56,11.8,25.8,0.191,0.549,12.8,74.8,0.175,
PHI,22,42,23,41,-4.88,0.12,-4.76,112.3,117.3,96.9,0.261,0.422,0.528,12.2,23.2,0.206,0.569,14.7,72.5,0.2,
DEN,42,23,41,24,4.83,-0.02,4.81,120.4,115.6,100.1,0.251,0.353,0.576,12.4,26.8,0.194,0.54,11.3,74.9,0.174,
MIL,36,27,36,27,2.11,-0.66,1.45,114.6,112.5,99.8,0.256,0.424,0.563,12.5,19.8,0.191,0.528,11.4,76.5,0.179,
TOR,22,43,23,42,-5.11,0.88,-4.23,110.8,115.9,99.1,0.242,0.368,0.526,13.5,27.3,0.182,0.544,12.8,73.5,0.224,
SAS,26,37,27,36,-2.44,0.22,-2.22,114.1,116.5,99.3,0.235,0.439,0.542,12.3,24.3,0.182,0.544,11.7,72.7,0.157,
OKC,53,12,54,11,12.58,-0.11,12.47,119.7,107.1,99.8,0.214,0.421,0.556,10.4,24.4,0.177,0.511,15.3,73.8,0.216,
DAL,33,33,34,32,0.33,0.63,0.96,115.6,115.2,99,0.258,0.402,0.548,12.3,24.2,0.2,0.534,11.7,72.9,0.181,
PHO,30,35,29,36,-2.03,-0.29,-2.32,116.3,118.4,97.5,0.256,0.437,0.563,12.8,21.7,0.206,0.544,10.8,73.9,0.192,
CLE,54,10,51,13,11.38,-0.95,10.42,122.7,111.3,100,0.243,0.456,0.584,11.6,25.4,0.192,0.525,12.8,75.4,0.181,
UTA,15,50,19,46,-7.25,0.45,-6.8,112.2,119.4,99.6,0.26,0.445,0.537,15.1,27.9,0.201,0.554,10.3,74.6,0.189,
WAS,13,50,12,51,-12.1,0.59,-11.51,106.7,118.6,101.3,0.233,0.434,0.51,13.8,23.2,0.182,0.548,11.5,72.6,0.205,
ORL,30,36,29,37,-1.79,-0.5,-2.29,108,109.9,96.2,0.276,0.411,0.503,13,25.2,0.212,0.542,15.3,77.3,0.228,
IND,35,28,33,30,0.98,-0.63,0.35,116,115,99.8,0.238,0.395,0.562,12,21.1,0.188,0.547,13.1,73.6,0.194,
SAC,33,31,35,29,1.45,-0.3,1.15,116.5,115,98.8,0.237,0.391,0.545,11.8,25.5,0.192,0.55,12.6,77.2,0.202,
MIN,37,29,40,26,3.59,0.73,4.32,115.4,111.7,97.3,0.246,0.458,0.549,13.1,25.3,0.196,0.531,13.2,74.5,0.18,
ATL,31,34,28,37,-2.42,0.17,-2.24,113.1,115.4,103.1,0.256,0.403,0.538,13.3,26.1,0.197,0.561,14,76,0.197,
NOP,17,48,17,48,-8.28,0.85,-7.43,111,119.3,99.3,0.247,0.387,0.517,12.3,26.3,0.187,0.563,12.7,71.8,0.178,
MEM,41,24,43,22,5.89,-0.39,5.5,118.1,112.4,103.7,0.259,0.4,0.554,13.5,30.1,0.202,0.531,13,74.3,0.201,
DET,36,29,36,29,1.58,-0.4,1.19,114,112.4,100,0.241,0.398,0.547,13.6,26.3,0.188,0.54,13.4,77.1,0.213,
BRK,22,42,20,44,-6.34,0.04,-6.31,109,115.6,96.1,0.248,0.452,0.516,13.9,25.2,0.197,0.558,14.1,74.6,0.214,
HOU,40,25,41,24,3.98,0.59,4.57,114,110,98.6,0.246,0.381,0.515,12,31.6,0.182,0.521,12.9,75.4,0.19,
CHO,16,48,18,46,-7.45,-0.21,-7.67,107.4,115,97.6,0.223,0.437,0.498,13.4,27.3,0.174,0.543,12.5,74.8,0.196,
SAC,33,31,35,29,1.45,-0.3,1.15,116.5,115,98.8,0.237,0.391,0.545,11.8,25.5,0.192,0.55,12.6,77.2,0.202,
POR,28,38,25,41,-4.05,0.42,-3.63,111.5,115.6,98.9,0.25,0.41,0.523,13.9,28,0.192,0.545,13.3,72.4,0.209,
LAC,35,29,36,28,2.16,0.16,2.32,112.6,110.4,97.8,0.25,0.393,0.542,13.8,24.3,0.198,0.537,13.9,76.9,0.193
