,Unnamed: 0,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Home,DRtg,Pace,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 21,PTS_last_5_avg,FGA_last_5_avg,MP_last_5_avg,Opp_DRtg_x_PTS,Opp_Pace_x_FGA,Opp_eFG_x_PTS
0,0,34.65,7,16,0.438,1,4,0.25,1,1,1.0,0,5,5,4,0,2,2,3,16,10.1,1,111.7,97.3,0.531,13.2,74.5,0.18,,16.0,16.0,34.65,1787.2,1556.8,8.496
1,1,34.7,7,13,0.538,2,5,0.4,5,8,0.625,0,4,4,8,0,0,2,1,21,17.9,1,118.4,97.5,0.544,10.8,73.9,0.192,,18.5,14.5,34.675,2190.4,1413.75,10.064
2,2,33.766666666666666,12,22,0.545,4,9,0.444,4,4,1.0,0,14,14,10,0,1,5,3,32,27.1,1,115.0,98.8,0.55,12.6,77.2,0.202,,23.0,17.0,34.37222222222223,2645.0,1679.6,12.65
3,3,33.766666666666666,12,22,0.545,4,9,0.444,4,4,1.0,0,14,14,10,0,1,5,3,32,27.1,1,115.0,98.8,0.55,12.6,77.2,0.202,,25.25,18.25,34.22083333333333,2903.75,1803.1,13.887500000000001
4,4,35.8,3,14,0.214,2,5,0.4,3,6,0.5,0,5,5,8,1,0,2,1,11,6.9,0,118.4,97.5,0.544,10.8,73.9,0.192,,22.4,17.4,34.53666666666667,2652.16,1696.4999999999998,12.1856
5,5,28.966666666666665,9,13,0.692,1,3,0.333,7,7,1.0,1,5,6,3,0,0,6,2,26,18.0,0,111.3,100.0,0.525,12.8,75.4,0.181,,24.4,16.8,33.4,2715.72,1680.0,12.81
6,6,36.25,9,17,0.529,5,8,0.625,4,6,0.667,0,6,6,10,1,0,0,1,27,27.3,0,115.9,99.1,0.544,12.8,73.5,0.224,,25.6,17.6,33.71,2967.0400000000004,1744.16,13.926400000000001
7,7,40.0,7,16,0.438,1,2,0.5,5,5,1.0,1,7,8,11,2,0,1,1,20,22.7,0,112.4,100.0,0.54,13.4,77.1,0.213,,23.2,16.4,34.95666666666666,2607.68,1639.9999999999998,12.528
8,8,35.416666666666664,15,24,0.625,6,11,0.545,3,4,0.75,0,7,7,6,1,0,5,2,39,29.3,0,112.4,103.7,0.531,13.0,74.3,0.201,,24.6,16.8,35.28666666666667,2765.0400000000004,1742.16,13.062600000000002
9,9,33.8,9,14,0.643,2,4,0.5,1,1,1.0,0,12,12,13,0,3,2,0,21,27.6,1,117.3,96.9,0.569,14.7,72.5,0.2,,26.6,16.8,34.88666666666666,3120.1800000000003,1627.92,15.135399999999999
